patent_id,country_code,title,assignee,author,priority_date,creation_date,publ_date,grant_date,result_link,fig_link
KR-102120828-B1,KR,Apparatus for monitoring health based on virtual reality using Artificial Intelligence and method thereof ,이영규,이영규,2019-05-01,2020-11-03,2020-06-09,2020-06-09,https://patents.google.com/patent/KR102120828B1/en,https://patentimages.storage.googleapis.com/e1/a5/da/55086e5b280325/112020025579217-pat00001.png
US-11676016-B2,US,Selecting artificial intelligence model based on input data ,"Samsung Electronics Co., Ltd.","Anant BAIJAL, Vivek Agarwal, Jayoon KOO",2019-06-12,2020-12-06,2023-06-13,2023-06-13,https://patents.google.com/patent/US11676016B2/en,https://patentimages.storage.googleapis.com/c7/25/68/865e14a220572a/US11676016-20230613-D00000.png
US-10839794-B2,US,"Method and apparatus for correcting input speech based on artificial intelligence, and storage medium ","Baidu Online Network Technology (Beijing) Co., Ltd.",Kuai LI,2017-09-29,2018-07-08,2020-11-17,2020-11-17,https://patents.google.com/patent/US10839794B2/en,https://patentimages.storage.googleapis.com/8d/fb/9c/e7a986c084f408/US10839794-20201117-D00000.png
US-11818136-B2,US,System and method for intelligent agents for decision support in network identity graph based identity management artificial intelligence systems ,"Sailpoint Technologies, Inc.","Mohamed M. Badawy, Jostine Fei Ho, Rajat Kabra",2019-02-26,2021-02-08,2023-11-14,2023-11-14,https://patents.google.com/patent/US11818136B2/en,https://patentimages.storage.googleapis.com/cc/9d/6a/61dd032c0f8046/US11818136-20231114-D00000.png
US-10510051-B2,US,Real-time (intra-meeting) processing using artificial intelligence ,"Ricoh Company, Ltd.","Steven A. Nelson, Hiroshi Kitada, Lana Wong",2016-10-11,2016-11-10,2019-12-17,2019-12-17,https://patents.google.com/patent/US10510051B2/en,https://patentimages.storage.googleapis.com/0c/0d/cb/b86496ad77786a/US10510051-20191217-D00000.png
US-12001964-B2,US,Artificial intelligence advisory systems and methods for behavioral pattern matching and language generation ,"Kpn Innovations, Llc.",Kenneth Neumann,2019-07-03,2023-01-03,2024-06-04,2024-06-04,https://patents.google.com/patent/US12001964B2/en,https://patentimages.storage.googleapis.com/f0/0e/89/df38e38d072b47/US12001964-20240604-D00000.png
US-11227686-B2,US,Systems and methods for processing integrated surgical video collections to identify relationships using artificial intelligence ,Theator inc.,"Evgeny Makrinich, Tamir Wolf, Dotan Asselmann",2020-04-05,2021-07-04,2022-01-18,2022-01-18,https://patents.google.com/patent/US11227686B2/en,https://patentimages.storage.googleapis.com/6f/c4/3d/bc0d8643bad6c5/US11227686-20220118-D00000.png
US-11948048-B2,US,Artificial intelligence for context classifier ,"Brighterion, Inc.",Akli Adjaoute,2014-04-02,2019-12-03,2024-04-02,2024-04-02,https://patents.google.com/patent/US11948048B2/en,https://patentimages.storage.googleapis.com/60/59/3a/7d0d4ccea94275/US11948048-20240402-D00000.png
JP-7091451-B2,JP,"Automatic ECG analysis method based on artificial intelligence self-learning, equipment used to execute the analysis method, computer program products and computer-readable storage media ",上海▲楽▼普云智科技股▲分▼有限公司,"君 曹, ▲艷▼ 姜, 涛 ▲劉▼, ▲凱▼▲豊▼ ▲蔵▼, ▲傳▼言 胡, ▲暢▼ ▲劉▼",2017-11-27,2018-12-01,2022-06-27,2022-06-27,https://patents.google.com/patent/JP7091451B2/en,https://patentimages.storage.googleapis.com/07/2f/7a/35d622db8bdf07/0007091451000003.png
US-11354892-B1,US,Systems and methods for hail damage verification on rooftops using computer vision and artificial intelligence ,State Farm Mutual Automobile Insurance Company,Brian N. Harvey,2017-06-13,2020-10-08,2022-06-07,2022-06-07,https://patents.google.com/patent/US11354892B1/en,https://patentimages.storage.googleapis.com/da/fd/24/2061ab89a0e962/US11354892-20220607-D00000.png
CN-106407333-B,CN,Spoken language query identification method and device based on artificial intelligence ,北京百度网讯科技有限公司,"孙宇, 王硕寰",2016-09-05,2016-05-09,2020-03-03,2020-03-03,https://patents.google.com/patent/CN106407333B/en,https://patentimages.storage.googleapis.com/45/2f/94/941be5c7341e1a/HDA0001109406500000011.png
KR-101926836-B1,KR,System and method for artificial intelligence based picture psychological inspection service for psychological screening ,(주)마인드엘리베이션,이정,2018-02-09,2018-09-02,2018-12-07,2018-12-07,https://patents.google.com/patent/KR101926836B1/en,https://patentimages.storage.googleapis.com/27/22/a2/dbfae690569d01/112018014558286-pat00001.png
US-12014289-B2,US,Artificial intelligence and/or virtual reality for activity optimization/personalization ,"P Tech, Llc","Peter M. Bonutti, Justin E. Beyers, Tonya M. Bierman",2017-08-30,2021-05-08,2024-06-18,2024-06-18,https://patents.google.com/patent/US12014289B2/en,https://patentimages.storage.googleapis.com/5f/d7/44/292bec16a4c7d1/US12014289-20240618-D00000.png
KR-101827320-B1,KR,Server for call center using artificial intelligence ,윤준호,"윤준호, 심민식, 김철중",2017-06-08,2017-08-06,2018-02-09,2018-02-09,https://patents.google.com/patent/KR101827320B1/en,https://patentimages.storage.googleapis.com/64/b3/04/9c0d38b3c6d27e/112017054779431-pat00001.png
US-11755108-B2,US,Systems and methods for deep reinforcement learning using a brain-artificial intelligence interface ,The Trustees Of Columbia University In The City Of New York,"Paul Sajda, Sameer Saproo, Victor Shih, Sonakshi Bose Roy, David Jangraw",2016-04-08,2018-02-10,2023-09-12,2023-09-12,https://patents.google.com/patent/US11755108B2/en,https://patentimages.storage.googleapis.com/09/e1/31/0cc544231d834b/US11755108-20230912-D00000.png
US-11275898-B2,US,Search method and device based on artificial intelligence ,"Beijing Baidu Netcom Science And Technology Co., Ltd.","Yong Zhu, Xunchao Song, Ying Li, Yilin Zhang",2017-12-28,2018-11-10,2022-03-15,2022-03-15,https://patents.google.com/patent/US11275898B2/en,https://patentimages.storage.googleapis.com/dd/4c/3e/a9ac06b96b14cb/US11275898-20220315-D00000.png
US-11768893-B2,US,"Concept networks and systems and methods for the creation, update and use of same in artificial intelligence systems ","Realpage, Inc.","Richard Lawrence Stillwell, JR., Carter Myers Brooking, Jed Jackoway, Brandon Michael Burkett",2017-10-06,2021-03-05,2023-09-26,2023-09-26,https://patents.google.com/patent/US11768893B2/en,https://patentimages.storage.googleapis.com/58/0e/55/4f9b3d176b702d/US11768893-20230926-D00000.png
CN-106649288-B,CN,Artificial intelligence based translation method and device ,北京百度网讯科技有限公司,"何中军, 刘红雨, 赵世奇, 吴华",2016-12-12,2016-12-12,2020-06-23,2020-06-23,https://patents.google.com/patent/CN106649288B/en,https://patentimages.storage.googleapis.com/f2/4e/14/bc95c7336c6f8e/HDA0001177333560000011.png
US-11307735-B2,US,Creating agendas for electronic meetings using artificial intelligence ,"Ricoh Company, Ltd.","Steven A. Nelson, Hiroshi Kitada, Lana Wong",2016-10-11,2016-11-10,2022-04-19,2022-04-19,https://patents.google.com/patent/US11307735B2/en,https://patentimages.storage.googleapis.com/c4/ff/ae/f6f8e5b927e8f9/US11307735-20220419-D00000.png
US-10860985-B2,US,Post-meeting processing using artificial intelligence ,"Ricoh Company, Ltd.","Steven A. Nelson, Hiroshi Kitada, Lana Wong",2016-10-11,2016-11-10,2020-12-08,2020-12-08,https://patents.google.com/patent/US10860985B2/en,https://patentimages.storage.googleapis.com/8c/82/d2/b35fca8b28e163/US10860985-20201208-D00000.png
US-11227235-B1,US,Universal artificial intelligence engine for autonomous computing devices and software applications ,Jasmin Cosic,Jasmin Cosic,2015-08-30,2020-05-02,2022-01-18,2022-01-18,https://patents.google.com/patent/US11227235B1/en,https://patentimages.storage.googleapis.com/4c/dc/dd/4d9a98041ce601/US11227235-20220118-D00000.png
CN-111310851-B,CN,Artificial intelligence ultrasonic auxiliary system and application thereof ,"四川大学华西第二医院, 成都市汪汪科技有限公司","陈欣, 罗红, 张波, 李科君, 夏姣",2020-03-03,2020-03-03,2023-04-28,2023-04-28,https://patents.google.com/patent/CN111310851B/en,https://patentimages.storage.googleapis.com/3d/b0/a2/241022c6c79434/200303101542.png
CN-111652703-B,CN,Automatic accounting and tax return method and system for artificial intelligence accounting ,策拉人工智能科技(云南)有限公司,"黄云峰, 曹武, 陈志军, 唐丽娟, 冯潇, 刘杨, 刘子超, 芮体江, 芮麟",2020-06-04,2020-04-06,2023-04-28,2023-04-28,https://patents.google.com/patent/CN111652703B/en,https://patentimages.storage.googleapis.com/ef/e1/52/843385d053cff2/HDA0004123820340000011.png
